resistance_class,combo,exp_coef,lower,upper
fluoroquinolone,marbofloxacin blaEC-18,6.182535677615321,4.085712497152482,9.355466747018099
fluoroquinolone,orbifloxacin blaEC-18,6.205526448107894,4.1484985821385605,9.282529024829827
fluoroquinolone,pradofloxacin blaEC-18,5.516451547547449,3.6357363740148907,8.370034168025743
fluoroquinolone,marbofloxacin tet(34),5.883975393115498,3.9466745710917133,8.772237437659298
fluoroquinolone,pradofloxacin tet(34),5.487657199663296,3.669621388663372,8.206400157261267
fluoroquinolone,enrofloxacin blaTEM-1,5.497555738557232,4.046153480364751,7.469592847926027
fluoroquinolone,marbofloxacin blaTEM-1,5.230225243845284,3.4787228950945885,7.863591589870701
fluoroquinolone,orbifloxacin blaTEM-1,4.357593841489446,2.954187630424004,6.427697378402933
fluoroquinolone,pradofloxacin blaTEM-1,4.7038669432126685,3.1232799214214038,7.084335946865497
fluoroquinolone,enrofloxacin tet(B),6.276382110642748,4.567484812942675,8.624653176113522
fluoroquinolone,marbofloxacin tet(B),14.181159940184733,8.983362727475827,22.386416239657667
fluoroquinolone,orbifloxacin tet(B),12.153035580820234,7.745375039115906,19.068963488892766
fluoroquinolone,pradofloxacin tet(B),12.346186571053467,7.835792336770058,19.452828290507313
fluoroquinolone,marbofloxacin IncFIC(FII),4.331066696677069,2.9306235586735876,6.40073293465068
fluoroquinolone,enrofloxacin IncFIB(AP001918),4.571655533230758,3.3054385233076675,6.322923317782742
fluoroquinolone,enrofloxacin blaTEM-1B,5.252874723533371,3.837776929093061,7.1897594286847895
fluoroquinolone,marbofloxacin blaTEM-1B,6.165650463742532,4.06551835918371,9.350651573168971
fluoroquinolone,orbifloxacin blaTEM-1B,5.196780827809703,3.4883928908742132,7.741826054897875
fluoroquinolone,pradofloxacin blaTEM-1B,5.503816123481732,3.626175582771647,8.35370246962613
fluoroquinolone,enrofloxacin sul2,6.390150504691184,4.661353178216264,8.760122203018897
fluoroquinolone,marbofloxacin sul2,11.929190318654538,7.335781082856198,19.398831569722116
fluoroquinolone,orbifloxacin sul2,11.177169564693752,7.1122922739934795,17.565239822149476
fluoroquinolone,pradofloxacin sul2,12.857357760506325,8.20441170277951,20.149116666786426
fluoroquinolone,enrofloxacin aph(3'')-Ib,4.461057796070503,3.289682224315214,6.049531627336451
fluoroquinolone,marbofloxacin aph(3'')-Ib,6.732709847029197,4.349441294184915,10.421886127049945
fluoroquinolone,orbifloxacin aph(3'')-Ib,6.48662037761693,4.269851287991414,9.85426448964417
fluoroquinolone,pradofloxacin aph(3'')-Ib,7.299319545920465,4.6840966391011385,11.37467262923098
fluoroquinolone,enrofloxacin aph(6)-Id,4.461057796070503,3.289682224315214,6.049531627336451
fluoroquinolone,marbofloxacin aph(6)-Id,6.732709847029197,4.349441294184915,10.421886127049945
fluoroquinolone,orbifloxacin aph(6)-Id,6.48662037761693,4.269851287991414,9.85426448964417
fluoroquinolone,pradofloxacin aph(6)-Id,7.299319545920465,4.6840966391011385,11.37467262923098
fluoroquinolone,enrofloxacin blaEC-5,0.15825191799322322,0.1044196689681551,0.23983670697300744
fluoroquinolone,marbofloxacin blaEC-5,0.12820289221479148,0.08175415045811348,0.20104155544565744
fluoroquinolone,orbifloxacin blaEC-5,0.15085421535894383,0.09929921646089533,0.22917597039171456
fluoroquinolone,pradofloxacin blaEC-5,0.13523610101690756,0.08611136816481456,0.21238546556653254
fluoroquinolone,enrofloxacin IncQ1,6.919036562354978,4.664257842123384,10.263812287317927
fluoroquinolone,marbofloxacin IncQ1,14.743507907485473,8.030001315643151,27.069861743936297
fluoroquinolone,orbifloxacin IncQ1,14.197305491245986,7.416150899022304,27.178988933239776
fluoroquinolone,pradofloxacin IncQ1,15.595124955162017,8.4861623183229309,28.659353102637898
fluoroquinolone,enrofloxacin IncFIA,7.693733308655899,5.525779721584526,10.712249710842148
