test_type_desc
Amikacin MIC
Amoxicillin/Clavulanic acid MIC
Ampicillin MIC
Cefazolin MIC
Cefovecin MIC
Cefpodoxime MIC
Ceftazidime MIC
Ceftiofur MIC
Cephalexin MIC
Cephalothin MIC
Chlortetracycline MIC
Clindamycin MIC
Danofloxacin MIC
Doxycycline MIC
Enrofloxacin MIC
Florfenicol MIC
Gamithromycin MIC
Gentamicin MIC
Marbofloxacin MIC
Minocycline MIC
Orbifloxacin MIC
Oxytetracycline MIC
Penicillin MIC
Piperacillin/tazobactam MIC
Pradofloxacin MIC
Spectinomycin MIC
Tetracycline MIC
Tildipirosin MIC
Tilmicosin MIC
Tulathromycin MIC
